id;migration;batch
19;2014_10_12_000000_create_users_table;1
20;2014_10_12_100000_create_password_resets_table;1
21;2019_08_19_000000_create_failed_jobs_table;1
22;2019_12_14_000001_create_personal_access_tokens_table;1
23;2024_07_17_220000_create_roles_table;1
24;2024_07_17_221000_create_role_user_table;1
25;2024_07_17_221100_create_actions_table;1
26;2024_07_17_221200_create_action_role_table;1
27;2024_07_17_221500_create_audit_table;1
28;2024_07_17_222000_create_pontos_table;1
29;2024_07_17_222500_create_horarios_table;1
30;2024_07_17_233620_create_ferias_table;1
31;2024_10_23_004855_create_frequencias_table;1
32;2024_10_23_112059_create_empresas_table;1
33;2024_10_23_112356_create_bancos_table;1
34;2024_10_23_112649_create_contracheques_table;1
35;2025_02_17_093055_create_escalas_table;1
36;2025_04_22_125354_create_escalas_integrantes_table;1
